TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness
1,1999,12,31,2000年1月1日,,
2,1999,7,31,1999年8月1日,,
3,1999,6,30,1999年7月1日,,
4,2004,2,29,2004年3月1日,,
5,2000,2,28,2000年2月29日,,
6,2000,1,17,2000年1月18日,,
7,2000,1,1,2000年1月2日,,
8,2000,1,31,2000年2月1日,,
9,2000,12,31,2001年1月1日,,
10,2000,12,1,2000年12月2日,,
11,2000,12,30,2000年12月31日,,
12,1804,2,29,1804年3月1日,,
13,1800,2,28,1800年3月1日,,
14,1600,2,28,1600年2月29日,,
15,1600,2,29,1600年3月1日,,
16,1600,1,17,1600年1月18日,,
17,1600,1,1,1600年1月2日,,
18,1600,12,31,1601年1月1日,,
19,1600,5,1,1600年5月2日,,
20,1600,7,31,1600年8月1日,,
21,1896,2,29,1896年3月1日,,
22,1896,2,28,1896年2月29日,,
23,1896,1,17,1896年1月18日,, 
24,1896,1,1,1896年1月2日,,
