TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness
1,1999,12,31,2000年1月1日,,
2,1999,7,31,1999年8月1日,,
3,1999,6,30,1999年7月1日,,
4,2004,2,29,2004年3月1日,,    
5,2000,2,28,2000年2月29日,,
6,2000,1,17,2000年1月18日,,
7,2004,2,30,闰年的2月日期应为1-29,,
8,2000,2,29,2000年3月1日,,
9,1999,6,31,该月份的天数应在1到30之间。,,
10,1999,6,0,该月份的天数应在1到30之间。,,
11,1999,0,15,年月须为正整数，且月份为1-12,,
12,1999,13,15,年月须为正整数，且月份为1-12,,
13,-1,2,15,年月须为正整数，且月份为1-12,,
14,1999,7,32,该月份的天数应在1到31之间。,,
15,2052,11,31,该月份的天数应在1到30之间。,,
16,2056,12,16,2056年12月17日,,
17,2060,12,28,2060年12月29日,,
18,2064,12,29,2064年12月30日,,
19,2068,12,30,2068年12月31日,,
20,2072,12,31,2073年1月1日,
21,2001,2,16,2001年2月17日,,
22,2002,2,28,2002年3月1日,,
23,2003,2,29,平年的2月日期应为1-28,,
24,2005,2,30,平年的2月日期应为1-28,,
25,2006,2,31,平年的2月日期应为1-28,,
26,2007,1,16,2007年1月17日,,
27,2009,3,28,2009年3月29日,,
28,2010,5,29,2010年5月30日,,
29,2011,7,30,2011年7月31日,,
30,2013,8,31,2013年9月1日,,
31,2014,4,16,2014年4月17日,,
32,2015,6,28,2015年6月29日,,
33,2017,9,29,2017年9月30日,,   
34,2018,11,30,2018年12月1日,
35,2019,11,31,该月份的天数应在1到30之间。,,
36,2021,12,16,2021年12月17日,
37,2022,12,28,2022年12月29日,,
38,2023,12,29,2023年12月30日,,
39,2025,12,30,2025年12月31日,,
40,2026,12,31,2027年1月1日,,
41,1899,0,0,年月须为正整数，且月份为1-12,,
42,1898,0,16,年月须为正整数，且月份为1-12,,
43,1897,0,28,年月须为正整数，且月份为1-12,,
44,1896,0,29,年月须为正整数，且月份为1-12,,
45,1895,0,30,年月须为正整数，且月份为1-12,,
46,1894,0,31,年月须为正整数，且月份为1-12,,
47,1893,0,32,年月须为正整数，且月份为1-12,,
48,1892,2,0,闰年的2月日期应为1-29,,
49,1891,2,16,1891年2月17日,,
50,1890,2,28,1890年3月1日,,
51,1889,2,29,平年的2月日期应为1-28,,
52,1888,2,30,闰年的2月日期应为1-29,,
53,1887,2,31,平年的2月日期应为1-28,,
54,1886,2,32,平年的2月日期应为1-28,,
55,1885,1,0,该月份的天数应在1到31之间。,,
56,1884,1,16,1884年1月17日,,
57,1883,3,28,1883年3月29日,,
58,1882,5,29,1882年5月30日,,
59,1881,7,30,1881年7月31日,,
60,1880,8,31,1880年9月1日,,
61,1879,8,32,该月份的天数应在1到31之间。,,
62,1878,4,0,该月份的天数应在1到30之间。,,
63,1877,4,16,1877年4月17日,,
64,1876,6,28,1876年6月29日,,
65,1875,9,29,1875年9月30日,,
66,1874,11,30,1874年12月1日,,
67,1873,11,31,该月份的天数应在1到30之间。,,
68,1872,11,32,该月份的天数应在1到30之间。,,
69,1871,12,0,该月份的天数应在1到31之间。,,
70,1870,12,16,1870年12月17日,,
71,1869,12,28,1869年12月29日,,
72,1868,12,29,1868年12月30日,,
73,1867,12,30,1867年12月31日,,
74,1866,12,31,1867年1月1日,,
75,1865,12,32,该月份的天数应在1到31之间。,,
76,1864,13,0,年月须为正整数，且月份为1-12,,
77,1863,13,16,年月须为正整数，且月份为1-12,,
78,1862,13,28,年月须为正整数，且月份为1-12,,
79,1861,13,29,年月须为正整数，且月份为1-12,,
80,1860,13,30,年月须为正整数，且月份为1-12,,
81,1859,13,31,年月须为正整数，且月份为1-12,,
82,1858,13,32,年月须为正整数，且月份为1-12,,
83,2101,0,0,年月须为正整数，且月份为1-12,,
84,2102,0,16,年月须为正整数，且月份为1-12,,
85,2103,0,28,年月须为正整数，且月份为1-12,,
86,2104,0,29,年月须为正整数，且月份为1-12,,
87,2105,0,30,年月须为正整数，且月份为1-12,,
88,2106,0,31,年月须为正整数，且月份为1-12,,
89,2107,0,32,年月须为正整数，且月份为1-12,,
90,2108,2,0,闰年的2月日期应为1-29,,
91,2109,2,16,2109年2月17日,,
92,2110,2,28,2110年3月1日,,
93,2111,2,29,平年的2月日期应为1-28,,
94,2112,2,30,闰年的2月日期应为1-29,,
95,2113,2,31,平年的2月日期应为1-28,,
96,2114,2,32,平年的2月日期应为1-28,,
97,2115,1,0,该月份的天数应在1到31之间。,,
98,2116,1,16,2116年1月17日,,
99,2117,3,28,2117年3月29日,,
100,2118,5,29,2118年5月30日,,
101,2119,7,30,2119年7月31日,,
102,2120,8,31,2120年9月1日,,
103,2121,8,32,该月份的天数应在1到31之间。,,
104,2122,4,0,该月份的天数应在1到30之间。,,
105,2123,4,16,2123年4月17日,,
106,2124,6,28,2124年6月29日,,
107,2125,9,29,2125年9月30日,,
108,2126,11,30,2126年12月1日,,
109,2127,11,31,该月份的天数应在1到30之间。,,
110,2128,11,32,该月份的天数应在1到30之间。,,
111,2129,12,0,该月份的天数应在1到31之间。,,
112,2130,12,16,2130年12月17日,,
113,2131,12,28,2131年12月29日,,
114,2132,12,29,2132年12月30日,,
115,2133,12,30,2133年12月31日,,
116,2134,12,31,2135年1月1日,,
