TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness
1,0,100,100,Not triangle,,
2,1,100,100,Isosceles triangle,,
3,-1,100,100,Not triangle,,
4,100,100,100,Equilateral triangle,,
5,199,100,100,Isosceles triangle,,
6,200,100,100,Not triangle,,
7,201,100,100,Not triangle,,
8,100,0,100,Not triangle,,
9,100,1,100,Isosceles triangle,,
10,100,-1,100,Not triangle,,
11,100,199,100,Isosceles triangle,,
12,100,200,100,Not triangle,,
13,100,201,100,Not triangle,,
14,100,100,0,Not triangle,,
15,100,100,1,Isosceles triangle,,
16,100,100,-1,Not triangle,,
17,100,100,199,Isosceles triangle,,
18,100,100,200,Not triangle,,
19,100,100,201,Not triangle,,
